t_s,Ltot_x_Nms,Ltot_y_Nms,Ltot_z_Nms,Ltot_norm_Nms
176.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
176.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
177.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
177.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
178.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
178.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
179.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
179.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
180.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
180.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
181.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
181.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
182.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
182.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
183.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
