t_s,e_ee_pos_mm,e_ee_ori_deg,tau_q_max_Nm,tau_q_max_ang_Nm
5.000000,2.330854,11.407672,0.449579,0.035252
5.010000,2.350771,11.457835,0.451932,0.035477
5.020000,2.370832,11.507926,0.454269,0.035701
5.030000,2.391024,11.557943,0.456591,0.035923
5.040000,2.411336,11.607883,0.458898,0.036144
5.050000,2.431757,11.657744,0.461190,0.036364
5.060000,2.452275,11.707523,0.463466,0.036582
5.070000,2.472880,11.757219,0.465727,0.036798
5.080000,2.493561,11.806829,0.467972,0.037013
5.090000,2.514307,11.856350,0.470202,0.037227
5.100000,2.535109,11.905780,0.472416,0.037439
5.110000,2.555955,11.955117,0.474615,0.037650
5.120000,2.576835,12.004358,0.476797,0.037858
5.130000,2.597742,12.053502,0.478963,0.038066
5.140000,2.618663,12.102544,0.481114,0.038272
5.150000,2.639591,12.151484,0.483248,0.038476
5.160000,2.660516,12.200319,0.485366,0.038678
5.170000,2.681429,12.249045,0.487468,0.038879
5.180000,2.702321,12.297662,0.489553,0.039078
5.190000,2.723184,12.346165,0.491621,0.039275
5.200000,2.744009,12.394553,0.493672,0.039471
5.210000,2.764788,12.442823,0.495707,0.039665
5.220000,2.785512,12.490972,0.497725,0.039857
5.230000,2.806175,12.538998,0.499725,0.040047
5.240000,2.826768,12.586899,0.501708,0.040236
5.250000,2.847283,12.634671,0.503673,0.040422
5.260000,2.867713,12.682312,0.505621,0.040607
5.270000,2.888051,12.729820,0.507550,0.040790
5.280000,2.908290,12.777191,0.509462,0.040971
5.290000,2.928423,12.824424,0.511355,0.041150
5.300000,2.948443,12.871515,0.513230,0.041328
5.310000,2.968343,12.918461,0.515087,0.041503
5.320000,2.988116,12.965261,0.516924,0.041676
5.330000,3.007758,13.011911,0.518742,0.041847
5.340000,3.027261,13.058408,0.520541,0.042017
5.350000,3.046619,13.104750,0.522321,0.042184
5.360000,3.065826,13.150934,0.524081,0.042349
5.370000,3.084877,13.196957,0.525821,0.042512
5.380000,3.103766,13.242816,0.527540,0.042673
5.390000,3.122487,13.288509,0.529239,0.042832
5.400000,3.141035,13.334032,0.530918,0.042988
5.410000,3.159405,13.379382,0.532575,0.043143
5.420000,3.177592,13.424558,0.534211,0.043295
5.430000,3.195590,13.469556,0.535826,0.043445
5.440000,3.213395,13.514372,0.537419,0.043593
